mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_randomforest__criterion;param_randomforest__max_depth;param_randomforest__max_features;param_randomforest__min_samples_leaf;param_randomforest__min_samples_split;param_randomforest__random_state;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;mean_test_score;std_test_score;rank_test_score
0.5467007398605347;0.04939977510456483;0.042600154876708984;0.006560028536196469;gini;9;8;1;9;1;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 1, 'randomforest__min_samples_split': 9, 'randomforest__random_state': 1};0.6632653061224489;0.6428571428571429;0.673469387755102;0.673469387755102;0.5510204081632653;0.6804123711340206;0.6701030927835051;0.6391752577319587;0.5567010309278351;0.6597938144329897;0.6410267199663371;0.04535108958572798;302
0.558699369430542;0.03300002367685242;0.041500186920166014;0.0052394047163693966;gini;9;8;1;9;;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 1, 'randomforest__min_samples_split': 9, 'randomforest__random_state': None};0.6836734693877551;0.6326530612244898;0.6836734693877551;0.6632653061224489;0.5918367346938775;0.6494845360824743;0.6804123711340206;0.6391752577319587;0.6494845360824743;0.7319587628865979;0.6605617504733853;0.03573794481532849;96
0.5526005744934082;0.029830550115990114;0.042800092697143556;0.005362223457301572;gini;9;8;1;10;1;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 1, 'randomforest__min_samples_split': 10, 'randomforest__random_state': 1};0.6530612244897959;0.6428571428571429;0.6836734693877551;0.6224489795918368;0.6122448979591837;0.711340206185567;0.7319587628865979;0.6804123711340206;0.6288659793814433;0.6597938144329897;0.6626656848306334;0.03704314030011318;91
0.5694003105163574;0.05683240905747882;0.048500227928161624;0.008981164579400088;gini;9;8;1;10;;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 1, 'randomforest__min_samples_split': 10, 'randomforest__random_state': None};0.673469387755102;0.673469387755102;0.6938775510204082;0.6632653061224489;0.5612244897959183;0.6804123711340206;0.6494845360824743;0.6288659793814433;0.5979381443298969;0.6597938144329897;0.6481800967809804;0.03902433004358979;247
0.5717008113861084;0.05569743680700452;0.052799415588378903;0.016756829034037943;gini;9;8;1;11;1;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 1, 'randomforest__min_samples_split': 11, 'randomforest__random_state': 1};0.6836734693877551;0.6326530612244898;0.6530612244897959;0.6020408163265306;0.5612244897959183;0.6494845360824743;0.7010309278350515;0.6185567010309279;0.6082474226804123;0.6804123711340206;0.6390385019987377;0.04084741414925382;305
0.5590006113052368;0.06640951615510884;0.04979867935180664;0.012631221519349112;gini;9;8;1;11;;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 1, 'randomforest__min_samples_split': 11, 'randomforest__random_state': None};0.6632653061224489;0.6428571428571429;0.6938775510204082;0.6938775510204082;0.5510204081632653;0.7010309278350515;0.6597938144329897;0.6082474226804123;0.6494845360824743;0.6907216494845361;0.6554176309699138;0.044365291183718625;145
0.569400405883789;0.05549480528008035;0.045099520683288576;0.01093169140526994;gini;9;8;2;9;1;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 2, 'randomforest__min_samples_split': 9, 'randomforest__random_state': 1};0.6938775510204082;0.6122448979591837;0.6632653061224489;0.6326530612244898;0.5612244897959183;0.7010309278350515;0.7010309278350515;0.6185567010309279;0.5876288659793815;0.6597938144329897;0.6431306543235851;0.046281587438716354;285
0.5570009469985961;0.04843654254566102;0.04219915866851807;0.006866647594662125;gini;9;8;2;9;;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 2, 'randomforest__min_samples_split': 9, 'randomforest__random_state': None};0.6836734693877551;0.673469387755102;0.6938775510204082;0.673469387755102;0.5714285714285714;0.711340206185567;0.6597938144329897;0.5876288659793815;0.6391752577319587;0.6494845360824743;0.654334104775931;0.04244117092670319;166
0.5600007772445679;0.03465784144990888;0.044599604606628415;0.008639355477081992;gini;9;8;2;10;1;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 2, 'randomforest__min_samples_split': 10, 'randomforest__random_state': 1};0.6632653061224489;0.6326530612244898;0.6530612244897959;0.6428571428571429;0.5816326530612245;0.7010309278350515;0.7010309278350515;0.5979381443298969;0.6082474226804123;0.6597938144329897;0.6441510624868504;0.0382455410254143;282
0.5616007804870605;0.02748177266371779;0.046999359130859376;0.00711368032124619;gini;9;8;2;10;;{'randomforest__criterion': 'gini', 'randomforest__max_depth': 9, 'randomforest__max_features': 8, 'randomforest__min_samples_leaf': 2, 'randomforest__min_samples_split': 10, 'randomforest__random_state': None};0.7040816326530612;0.6122448979591837;0.6632653061224489;0.6428571428571429;0.5816326530612245;0.6907216494845361;0.711340206185567;0.6288659793814433;0.6288659793814433;0.6597938144329897;0.6523669261519041;0.039503691341909015;188
